student_id,well_versed_with_the_subject,explains_concepts_in_an_understandable_way,use_of_presentations,degree_of_difficulty_of_assignments,solves_doubts_willingly,structuring_of_the_course,provides_support_for_students_going_above_and_beyond,course_recommendation_based_on_relevance,overall_satisfaction,comments,sentiment_polarity,sentiment_label
159,7,7,6,6,3,9,3,1,5.25,SYNTHETIC: concepts are clear; slow response to queries,-0.10000000000000003,Negative
223,9,10,4,5,7,10,10,6,7.625,SYNTHETIC: explanations are easy to follow; got quick support; slides could be improved,0.3833333333333333,Positive
807,8,3,4,2,2,4,6,1,3.75,SYNTHETIC: need clearer explanations; assignments are manageable; slow response to queries; unclear weekly plan; presentations are text-heavy,-0.30000000000000004,Negative
525,9,9,4,3,5,5,9,2,5.75,SYNTHETIC: teaching is clear and concise; tasks are fair; presentations are text-heavy,0.3,Positive
799,5,6,5,4,2,1,1,7,3.875,SYNTHETIC: need more support for doubts; unclear weekly plan,0.5,Positive
24,9,10,6,10,2,10,1,9,7.125,SYNTHETIC: teaching is clear and concise; tasks felt challenging; slow response to queries,0.09999999999999998,Neutral
509,8,2,7,5,2,3,4,4,4.375,SYNTHETIC: concepts feel confusing; slow response to queries; unclear weekly plan; presentations add value,-0.30000000000000004,Negative
797,9,10,4,10,9,2,10,7,7.625,SYNTHETIC: explanations are easy to follow; workload feels heavy; got quick support; unclear weekly plan; presentations are text-heavy,0.18888888888888888,Positive
418,8,8,6,7,9,5,2,8,6.625,SYNTHETIC: explanations are easy to follow; assignments are too hard; mentor support is good,0.2805555555555555,Positive
48,5,5,4,2,1,10,10,9,5.75,SYNTHETIC: workload is reasonable; slow response to queries; presentations are text-heavy,-0.05000000000000002,Neutral
657,9,5,7,3,2,8,10,6,6.25,SYNTHETIC: workload is reasonable; slow response to queries; presentations add value,-0.05000000000000002,Neutral
864,9,8,5,2,3,9,2,8,5.75,SYNTHETIC: explanations are easy to follow; tasks are fair; hard to get help when needed,0.2805555555555555,Positive
861,5,6,4,5,4,4,6,6,5.0,SYNTHETIC: slow response to queries; course needs better structure; presentations are text-heavy,0.09999999999999998,Neutral
118,9,10,7,7,4,6,9,1,6.625,SYNTHETIC: concepts are clear; workload feels heavy; need more support for doubts; presentations add value,0.13333333333333333,Positive
387,7,3,8,1,6,8,6,8,5.875,SYNTHETIC: concepts feel confusing; workload is reasonable; slides are helpful,-0.04999999999999999,Neutral
282,5,6,7,3,8,1,1,9,5.0,SYNTHETIC: assignments are manageable; got quick support; course needs better structure; presentations add value,0.41666666666666663,Positive
503,8,6,6,3,3,6,4,10,5.75,SYNTHETIC: assignments are manageable; need more support for doubts,0.5,Positive
934,5,6,4,6,10,3,4,10,6.0,SYNTHETIC: doubt solving is helpful; course needs better structure; slides could be improved,0.5,Positive
781,8,3,4,5,1,8,10,5,5.5,SYNTHETIC: concepts feel confusing; need more support for doubts; slides could be improved,0.1,Neutral
898,10,10,4,3,5,4,2,1,4.875,SYNTHETIC: concepts are clear; assignments are manageable; unclear weekly plan; presentations are text-heavy,0.09999999999999999,Neutral
474,8,3,7,6,4,3,7,7,5.625,SYNTHETIC: struggled to follow some topics; hard to get help when needed; course needs better structure; slides are helpful,0.10416666666666666,Positive
704,9,9,8,6,8,4,8,5,7.125,SYNTHETIC: teaching is clear and concise; mentor support is good; course needs better structure; slides are helpful,0.35,Positive
977,9,5,4,4,6,3,1,9,5.125,SYNTHETIC: course needs better structure; presentations are text-heavy,0.5,Positive
454,9,6,6,1,10,8,10,7,7.125,SYNTHETIC: tasks are fair; got quick support,0.5166666666666666,Positive
295,5,7,6,3,1,7,2,9,5.0,SYNTHETIC: concepts are clear; tasks are fair; need more support for doubts,0.4333333333333333,Positive
35,10,6,4,5,6,2,3,1,4.625,SYNTHETIC: unclear weekly plan; presentations are text-heavy,0.0,Neutral
304,9,9,4,6,5,1,7,2,5.375,SYNTHETIC: explanations are easy to follow; course needs better structure; presentations are text-heavy,0.4666666666666667,Positive
56,6,9,6,8,9,6,2,4,6.25,SYNTHETIC: teaching is clear and concise; tasks felt challenging; got quick support,0.2583333333333333,Positive
922,8,10,7,4,5,9,3,5,6.375,SYNTHETIC: concepts are clear; slides are helpful,0.09999999999999999,Neutral
569,10,7,6,9,2,6,2,5,5.875,SYNTHETIC: explanations are easy to follow; tasks felt challenging; hard to get help when needed,0.21388888888888888,Positive
186,6,4,4,4,6,9,10,10,6.625,SYNTHETIC: concepts feel confusing; slides could be improved,-0.3,Negative
258,7,2,7,2,7,2,6,10,5.375,SYNTHETIC: concepts feel confusing; tasks are fair; got quick support; course needs better structure; slides are helpful,0.30833333333333335,Positive
560,8,7,8,3,8,7,4,8,6.625,SYNTHETIC: concepts are clear; workload is reasonable; mentor support is good; slides are helpful,0.3333333333333333,Positive
621,10,4,5,1,5,10,1,10,5.75,SYNTHETIC: need clearer explanations; tasks are fair,0.7,Positive
568,10,7,4,6,10,8,10,8,7.875,SYNTHETIC: teaching is clear and concise; doubt solving is helpful; slides could be improved,0.1,Neutral
393,6,9,8,7,5,8,1,4,6.0,SYNTHETIC: teaching is clear and concise; workload feels heavy; presentations add value,0.0,Neutral
12,8,10,7,2,8,9,6,6,7.0,SYNTHETIC: concepts are clear; tasks are fair; mentor support is good; presentations add value,0.5,Positive
798,7,2,8,7,10,5,3,5,5.875,SYNTHETIC: struggled to follow some topics; assignments are too hard; doubt solving is helpful; presentations add value,-0.2916666666666667,Negative
740,8,10,7,3,2,10,10,1,6.375,SYNTHETIC: explanations are easy to follow; assignments are manageable; hard to get help when needed; slides are helpful,0.07083333333333333,Neutral
184,10,9,8,6,4,8,8,9,7.75,SYNTHETIC: concepts are clear; hard to get help when needed; slides are helpful,-0.09583333333333335,Neutral
410,7,2,5,2,6,6,3,10,5.125,SYNTHETIC: concepts feel confusing; assignments are manageable,-0.3,Negative
480,10,6,7,8,5,3,1,5,5.625,SYNTHETIC: tasks felt challenging; course needs better structure; slides are helpful,0.5,Positive
84,7,4,6,10,7,7,8,9,7.25,SYNTHETIC: need clearer explanations; workload feels heavy; got quick support,0.06666666666666665,Neutral
89,9,9,4,5,1,2,3,9,5.25,SYNTHETIC: concepts are clear; slow response to queries; course needs better structure; slides could be improved,0.09999999999999998,Neutral
763,6,9,6,7,6,10,2,5,6.375,SYNTHETIC: explanations are easy to follow; workload feels heavy,0.11666666666666667,Positive
86,7,8,6,8,3,10,2,7,6.375,SYNTHETIC: explanations are easy to follow; tasks felt challenging; slow response to queries,0.2111111111111111,Positive
867,6,4,6,4,2,7,5,3,4.625,SYNTHETIC: struggled to follow some topics; need more support for doubts,0.5,Positive
248,6,6,4,6,6,6,2,3,4.875,SYNTHETIC: slides could be improved,0.0,Neutral
751,7,3,8,10,2,7,2,6,5.625,SYNTHETIC: need clearer explanations; assignments are too hard; need more support for doubts; slides are helpful,0.10416666666666666,Positive
522,6,9,8,10,9,5,3,6,7.0,SYNTHETIC: teaching is clear and concise; workload feels heavy; doubt solving is helpful; presentations add value,0.0,Neutral
696,5,5,4,9,3,1,8,6,5.125,SYNTHETIC: assignments are too hard; need more support for doubts; course needs better structure; slides could be improved,0.23611111111111108,Positive
274,8,2,4,7,10,8,5,8,6.5,SYNTHETIC: need clearer explanations; tasks felt challenging; doubt solving is helpful; presentations are text-heavy,0.5,Positive
921,9,7,5,10,10,9,6,4,7.5,SYNTHETIC: concepts are clear; assignments are too hard; mentor support is good,0.16944444444444443,Positive
957,6,2,7,8,5,9,5,4,5.75,SYNTHETIC: need clearer explanations; tasks felt challenging; slides are helpful,0.5,Positive
88,9,4,4,9,9,9,7,10,7.625,SYNTHETIC: need clearer explanations; assignments are too hard; doubt solving is helpful; presentations are text-heavy,-0.2916666666666667,Negative
149,5,6,5,1,8,9,7,8,6.125,SYNTHETIC: assignments are manageable; got quick support,0.3333333333333333,Positive
737,7,9,4,5,5,2,2,1,4.375,SYNTHETIC: explanations are easy to follow; course needs better structure; presentations are text-heavy,0.4666666666666667,Positive
891,7,2,4,9,6,9,7,9,6.625,SYNTHETIC: struggled to follow some topics; assignments are too hard; slides could be improved,-0.2916666666666667,Negative
1,9,6,8,7,6,5,3,10,6.75,SYNTHETIC: assignments are too hard; presentations add value,-0.2916666666666667,Negative
868,7,9,7,2,6,2,9,4,5.75,SYNTHETIC: concepts are clear; tasks are fair; course needs better structure; presentations add value,0.4333333333333333,Positive
895,5,5,7,7,2,1,8,9,5.5,SYNTHETIC: workload feels heavy; slow response to queries; course needs better structure; slides are helpful,0.0,Neutral
638,9,10,8,2,1,1,4,8,5.375,SYNTHETIC: concepts are clear; assignments are manageable; hard to get help when needed; unclear weekly plan; presentations add value,-0.09583333333333335,Neutral
707,5,6,6,5,1,9,6,9,5.875,SYNTHETIC: need more support for doubts,0.5,Positive
432,9,9,6,8,2,3,2,4,5.375,SYNTHETIC: explanations are easy to follow; workload feels heavy; hard to get help when needed; unclear weekly plan,-0.019444444444444448,Neutral
988,7,4,6,7,6,9,7,1,5.875,SYNTHETIC: struggled to follow some topics; tasks felt challenging,0.5,Positive
742,7,7,8,2,1,1,8,1,4.375,SYNTHETIC: teaching is clear and concise; assignments are manageable; hard to get help when needed; unclear weekly plan; presentations add value,-0.030555555555555558,Neutral
730,6,5,4,5,6,6,7,2,5.125,SYNTHETIC: slides could be improved,0.0,Neutral
321,5,7,6,2,3,5,3,5,4.5,SYNTHETIC: explanations are easy to follow; workload is reasonable; slow response to queries,0.11111111111111109,Positive
904,8,5,8,9,7,9,8,6,7.5,SYNTHETIC: tasks felt challenging; mentor support is good; presentations add value,0.6,Positive
171,6,10,4,6,1,6,2,3,4.75,SYNTHETIC: concepts are clear; need more support for doubts; presentations are text-heavy,0.3,Positive
695,10,4,4,1,5,8,7,1,5.0,SYNTHETIC: struggled to follow some topics; workload is reasonable; presentations are text-heavy,0.2,Positive
498,8,5,4,5,10,7,1,10,6.25,SYNTHETIC: doubt solving is helpful; slides could be improved,0.0,Neutral
446,7,8,5,10,10,2,5,9,7.0,SYNTHETIC: teaching is clear and concise; tasks felt challenging; got quick support; course needs better structure,0.30666666666666664,Positive
982,9,10,7,5,6,6,1,5,6.125,SYNTHETIC: teaching is clear and concise; slides are helpful,0.1,Neutral
981,7,6,7,5,4,6,8,3,5.75,SYNTHETIC: hard to get help when needed; presentations add value,-0.2916666666666667,Negative
849,6,10,6,7,7,4,10,7,7.125,SYNTHETIC: concepts are clear; assignments are too hard; mentor support is good; unclear weekly plan,0.16944444444444443,Positive
297,7,10,6,8,10,10,2,8,7.625,SYNTHETIC: concepts are clear; tasks felt challenging; doubt solving is helpful,0.3,Positive
713,8,6,7,5,2,7,10,8,6.625,SYNTHETIC: need more support for doubts; presentations add value,0.5,Positive
192,8,4,8,6,3,5,1,5,5.0,SYNTHETIC: struggled to follow some topics; hard to get help when needed; presentations add value,-0.2916666666666667,Negative
561,9,6,4,8,6,8,3,3,5.875,SYNTHETIC: workload feels heavy; slides could be improved,-0.2,Negative
364,6,6,7,9,6,4,7,6,6.375,SYNTHETIC: tasks felt challenging; unclear weekly plan; presentations add value,0.5,Positive
40,6,7,5,6,10,5,6,3,6.0,SYNTHETIC: explanations are easy to follow; doubt solving is helpful,0.43333333333333335,Positive
521,5,9,4,2,1,8,3,7,4.875,SYNTHETIC: concepts are clear; workload is reasonable; need more support for doubts; presentations are text-heavy,0.26666666666666666,Positive
201,8,2,8,9,8,8,9,4,7.0,SYNTHETIC: need clearer explanations; assignments are too hard; doubt solving is helpful; presentations add value,-0.2916666666666667,Negative
780,6,4,4,10,6,5,6,8,6.125,SYNTHETIC: struggled to follow some topics; tasks felt challenging; slides could be improved,0.5,Positive
853,7,9,4,8,9,4,10,2,6.625,SYNTHETIC: concepts are clear; tasks felt challenging; mentor support is good; unclear weekly plan; presentations are text-heavy,0.4333333333333333,Positive
202,5,6,6,10,3,4,2,8,5.5,SYNTHETIC: tasks felt challenging; slow response to queries; unclear weekly plan,0.09999999999999998,Neutral
421,6,3,8,10,6,8,7,9,7.125,SYNTHETIC: concepts feel confusing; tasks felt challenging; slides are helpful,0.1,Neutral
671,9,8,6,10,10,7,7,8,8.125,SYNTHETIC: explanations are easy to follow; workload feels heavy; mentor support is good,0.3111111111111111,Positive
334,5,9,4,3,8,10,4,2,5.625,SYNTHETIC: explanations are easy to follow; assignments are manageable; mentor support is good; slides could be improved,0.5666666666666667,Positive
843,6,8,5,4,5,5,10,6,6.125,SYNTHETIC: concepts are clear,0.09999999999999999,Neutral
57,10,7,6,10,4,4,2,4,5.875,SYNTHETIC: explanations are easy to follow; workload feels heavy; slow response to queries; unclear weekly plan,-0.022222222222222237,Neutral
353,6,7,5,3,6,6,7,5,5.625,SYNTHETIC: explanations are easy to follow; tasks are fair,0.5666666666666667,Positive
681,7,2,7,5,2,1,3,7,4.25,SYNTHETIC: concepts feel confusing; need more support for doubts; unclear weekly plan; slides are helpful,0.1,Neutral
394,6,3,6,10,7,4,3,3,5.25,SYNTHETIC: concepts feel confusing; workload feels heavy; doubt solving is helpful; unclear weekly plan,-0.25,Negative
188,7,6,8,9,9,8,9,10,8.25,SYNTHETIC: tasks felt challenging; mentor support is good; slides are helpful,0.6,Positive
641,5,10,6,7,4,2,5,4,5.375,SYNTHETIC: concepts are clear; tasks felt challenging; hard to get help when needed; unclear weekly plan,0.10277777777777776,Positive
544,10,7,8,4,6,5,7,8,6.875,SYNTHETIC: teaching is clear and concise; presentations add value,0.1,Neutral
163,9,3,4,7,3,8,6,8,6.0,SYNTHETIC: need clearer explanations; workload feels heavy; slow response to queries; presentations are text-heavy,-0.25,Negative
283,9,2,6,1,2,10,5,5,5.0,SYNTHETIC: concepts feel confusing; tasks are fair; slow response to queries,0.033333333333333305,Neutral
820,6,5,4,9,2,5,10,7,6.0,SYNTHETIC: tasks felt challenging; hard to get help when needed; presentations are text-heavy,0.10416666666666666,Positive
254,6,6,6,8,9,4,4,8,6.375,SYNTHETIC: assignments are too hard; got quick support; course needs better structure,0.18055555555555555,Positive
221,9,6,8,1,8,2,5,6,5.625,SYNTHETIC: tasks are fair; doubt solving is helpful; course needs better structure; presentations add value,0.6,Positive
736,8,2,8,8,2,6,5,4,5.375,SYNTHETIC: concepts feel confusing; tasks felt challenging; hard to get help when needed; presentations add value,-0.030555555555555558,Neutral
280,9,10,4,7,7,3,5,4,6.125,SYNTHETIC: concepts are clear; assignments are too hard; got quick support; course needs better structure; presentations are text-heavy,0.16041666666666665,Positive
976,5,2,5,5,7,9,4,3,5.0,SYNTHETIC: concepts feel confusing; got quick support,0.016666666666666663,Neutral
481,9,10,8,9,1,3,1,9,6.25,SYNTHETIC: teaching is clear and concise; assignments are too hard; need more support for doubts; unclear weekly plan; slides are helpful,0.10208333333333333,Positive
80,7,6,4,1,5,6,1,8,4.75,SYNTHETIC: assignments are manageable; presentations are text-heavy,0.0,Neutral
473,10,10,7,5,2,6,10,5,6.875,SYNTHETIC: concepts are clear; hard to get help when needed; slides are helpful,-0.09583333333333335,Neutral
762,10,7,5,7,8,9,3,4,6.625,SYNTHETIC: concepts are clear; tasks felt challenging; doubt solving is helpful,0.3,Positive
385,5,2,6,7,3,2,10,1,4.5,SYNTHETIC: concepts feel confusing; tasks felt challenging; need more support for doubts; unclear weekly plan,0.2333333333333333,Positive
195,9,7,5,5,10,10,5,1,6.5,SYNTHETIC: teaching is clear and concise; got quick support,0.17777777777777778,Positive
144,8,6,5,6,3,8,2,6,5.5,SYNTHETIC: need more support for doubts,0.5,Positive
767,10,10,8,3,9,6,4,8,7.25,SYNTHETIC: explanations are easy to follow; tasks are fair; got quick support; presentations add value,0.4888888888888889,Positive
300,6,8,4,5,5,9,5,4,5.75,SYNTHETIC: teaching is clear and concise; presentations are text-heavy,0.1,Neutral
580,5,2,5,8,6,5,4,9,5.5,SYNTHETIC: need clearer explanations; workload feels heavy,-0.2,Negative
216,5,9,8,2,4,8,9,10,6.875,SYNTHETIC: teaching is clear and concise; workload is reasonable; hard to get help when needed; presentations add value,0.027083333333333334,Neutral
583,9,3,4,6,5,3,8,7,5.625,SYNTHETIC: struggled to follow some topics; course needs better structure; presentations are text-heavy,0.5,Positive
881,7,9,5,9,4,5,4,8,6.375,SYNTHETIC: explanations are easy to follow; workload feels heavy; need more support for doubts,0.24444444444444446,Positive
488,8,8,6,9,7,4,6,1,6.125,SYNTHETIC: concepts are clear; assignments are too hard; mentor support is good; unclear weekly plan,0.16944444444444443,Positive
892,5,8,8,9,6,9,10,6,7.625,SYNTHETIC: teaching is clear and concise; assignments are too hard; presentations add value,-0.030555555555555558,Neutral
152,7,2,5,1,5,10,5,6,5.125,SYNTHETIC: struggled to follow some topics; workload is reasonable,0.2,Positive
925,7,10,6,7,9,10,1,3,6.625,SYNTHETIC: teaching is clear and concise; workload feels heavy; doubt solving is helpful,0.0,Neutral
729,9,9,8,7,5,4,5,5,6.5,SYNTHETIC: concepts are clear; workload feels heavy; course needs better structure; slides are helpful,0.13333333333333333,Positive
647,5,5,8,8,9,6,9,8,7.25,SYNTHETIC: assignments are too hard; doubt solving is helpful; presentations add value,-0.2916666666666667,Negative
686,8,6,5,5,2,6,5,8,5.625,SYNTHETIC: slow response to queries,-0.30000000000000004,Negative
93,9,10,6,4,9,6,7,8,7.375,SYNTHETIC: explanations are easy to follow; mentor support is good,0.5666666666666667,Positive
485,8,4,7,1,4,7,1,4,4.5,SYNTHETIC: struggled to follow some topics; tasks are fair; slow response to queries; presentations add value,0.19999999999999996,Positive
59,5,8,5,6,10,3,4,10,6.375,SYNTHETIC: teaching is clear and concise; mentor support is good; unclear weekly plan,0.3,Positive
907,10,4,7,6,1,2,5,1,4.5,SYNTHETIC: struggled to follow some topics; need more support for doubts; unclear weekly plan; slides are helpful,0.5,Positive
158,10,6,5,6,2,10,3,8,6.25,SYNTHETIC: slow response to queries,-0.30000000000000004,Negative
955,10,4,4,1,10,1,10,10,6.25,SYNTHETIC: concepts feel confusing; workload is reasonable; got quick support; unclear weekly plan; presentations are text-heavy,0.07777777777777778,Neutral
758,8,3,7,7,9,6,7,5,6.5,SYNTHETIC: concepts feel confusing; workload feels heavy; got quick support; slides are helpful,-0.05555555555555556,Neutral
605,6,4,4,4,7,5,5,2,4.625,SYNTHETIC: need clearer explanations; mentor support is good; presentations are text-heavy,0.7,Positive
475,10,6,4,9,3,1,6,7,5.75,SYNTHETIC: assignments are too hard; need more support for doubts; unclear weekly plan; slides could be improved,0.10416666666666666,Positive
154,9,7,4,8,2,6,3,9,6.0,SYNTHETIC: concepts are clear; tasks felt challenging; slow response to queries; slides could be improved,0.09999999999999998,Neutral
79,6,4,6,6,6,4,9,10,6.375,SYNTHETIC: need clearer explanations; course needs better structure,0.5,Positive
36,10,6,5,2,1,9,9,6,6.0,SYNTHETIC: tasks are fair; hard to get help when needed,0.20416666666666664,Positive
562,6,3,6,7,8,7,4,1,5.25,SYNTHETIC: concepts feel confusing; workload feels heavy; got quick support,-0.05555555555555556,Neutral
231,10,7,8,1,3,3,3,3,4.75,SYNTHETIC: explanations are easy to follow; tasks are fair; need more support for doubts; unclear weekly plan; slides are helpful,0.5444444444444444,Positive
869,8,7,6,2,9,4,1,7,5.5,SYNTHETIC: teaching is clear and concise; workload is reasonable; mentor support is good; unclear weekly plan,0.275,Positive
608,7,4,6,5,4,7,8,7,6.0,SYNTHETIC: concepts feel confusing; slow response to queries,-0.30000000000000004,Negative
846,10,7,7,4,7,10,7,1,6.625,SYNTHETIC: concepts are clear; got quick support; slides are helpful,0.21666666666666665,Positive
542,10,4,7,7,2,2,5,9,5.75,SYNTHETIC: struggled to follow some topics; assignments are too hard; need more support for doubts; course needs better structure; presentations add value,0.23611111111111108,Positive
941,9,3,7,2,9,7,3,1,5.125,SYNTHETIC: need clearer explanations; assignments are manageable; mentor support is good; presentations add value,0.7,Positive
919,10,2,8,5,6,3,8,5,5.875,SYNTHETIC: need clearer explanations; unclear weekly plan; presentations add value,0.0,Neutral
352,6,2,6,3,5,3,8,6,4.875,SYNTHETIC: concepts feel confusing; assignments are manageable; course needs better structure,0.1,Neutral
839,9,2,5,10,4,4,9,1,5.5,SYNTHETIC: concepts feel confusing; assignments are too hard; hard to get help when needed; unclear weekly plan,-0.29444444444444445,Negative
266,8,8,5,6,6,8,2,2,5.625,SYNTHETIC: teaching is clear and concise,0.1,Neutral
298,8,4,8,9,7,1,7,3,5.875,SYNTHETIC: concepts feel confusing; workload feels heavy; doubt solving is helpful; course needs better structure; slides are helpful,0.0,Neutral
929,10,2,6,1,1,9,9,7,5.625,SYNTHETIC: need clearer explanations; tasks are fair; need more support for doubts,0.6,Positive
574,6,4,8,5,9,5,7,10,6.75,SYNTHETIC: need clearer explanations; doubt solving is helpful; slides are helpful,0.0,Neutral
250,5,7,7,3,1,6,3,1,4.125,SYNTHETIC: explanations are easy to follow; assignments are manageable; hard to get help when needed; slides are helpful,0.07083333333333333,Neutral
616,9,8,6,9,6,3,5,8,6.75,SYNTHETIC: explanations are easy to follow; workload feels heavy; unclear weekly plan,0.11666666666666667,Positive
164,8,5,7,10,8,9,10,1,7.25,SYNTHETIC: assignments are too hard; got quick support; presentations add value,0.020833333333333315,Neutral
827,6,3,4,9,7,8,7,6,6.25,SYNTHETIC: concepts feel confusing; tasks felt challenging; doubt solving is helpful; presentations are text-heavy,0.1,Neutral
228,7,6,6,1,6,6,6,9,5.875,SYNTHETIC: workload is reasonable,0.2,Positive
787,10,10,5,10,1,9,3,8,7.0,SYNTHETIC: concepts are clear; tasks felt challenging; slow response to queries,0.09999999999999998,Neutral
317,8,8,4,1,10,10,9,1,6.375,SYNTHETIC: explanations are easy to follow; workload is reasonable; doubt solving is helpful; presentations are text-heavy,0.31666666666666665,Positive
110,9,6,4,1,4,7,9,5,5.625,SYNTHETIC: workload is reasonable; hard to get help when needed; presentations are text-heavy,-0.04583333333333334,Neutral
165,6,2,6,2,2,10,2,2,4.0,SYNTHETIC: need clearer explanations; tasks are fair; slow response to queries,0.19999999999999996,Positive
701,5,9,7,1,9,9,1,9,6.25,SYNTHETIC: concepts are clear; assignments are manageable; doubt solving is helpful; presentations add value,0.09999999999999999,Neutral
362,7,9,6,7,4,8,1,2,5.5,SYNTHETIC: teaching is clear and concise; workload feels heavy; need more support for doubts,0.125,Positive
890,8,7,5,3,9,1,4,5,5.25,SYNTHETIC: teaching is clear and concise; workload is reasonable; mentor support is good; unclear weekly plan,0.275,Positive
728,10,9,4,8,5,2,3,10,6.375,SYNTHETIC: concepts are clear; assignments are too hard; course needs better structure; slides could be improved,0.10277777777777776,Positive
466,9,8,5,5,6,2,10,4,6.125,SYNTHETIC: teaching is clear and concise; course needs better structure,0.2333333333333333,Positive
709,9,3,6,4,4,8,10,1,5.625,SYNTHETIC: struggled to follow some topics; need more support for doubts,0.5,Positive
482,10,3,4,3,10,1,8,5,5.5,SYNTHETIC: concepts feel confusing; workload is reasonable; mentor support is good; unclear weekly plan; slides could be improved,0.19999999999999998,Positive
406,9,10,6,1,6,1,9,2,5.5,SYNTHETIC: concepts are clear; tasks are fair; unclear weekly plan,0.39999999999999997,Positive
66,8,5,8,7,6,1,9,9,6.625,SYNTHETIC: workload feels heavy; course needs better structure; slides are helpful,0.15,Positive
862,6,5,6,5,7,2,10,8,6.125,SYNTHETIC: got quick support; course needs better structure,0.41666666666666663,Positive
61,9,8,6,5,3,10,6,6,6.625,SYNTHETIC: teaching is clear and concise; need more support for doubts,0.2333333333333333,Positive
111,7,9,7,1,10,10,3,10,7.125,SYNTHETIC: explanations are easy to follow; assignments are manageable; got quick support; presentations add value,0.3833333333333333,Positive
147,6,8,4,6,9,6,8,7,6.75,SYNTHETIC: explanations are easy to follow; got quick support; presentations are text-heavy,0.3833333333333333,Positive
211,7,4,4,3,7,8,7,10,6.25,SYNTHETIC: struggled to follow some topics; assignments are manageable; mentor support is good; presentations are text-heavy,0.7,Positive
996,6,5,6,10,8,7,8,4,6.75,SYNTHETIC: workload feels heavy; doubt solving is helpful,-0.2,Negative
459,8,5,8,6,6,1,8,4,5.75,SYNTHETIC: unclear weekly plan; slides are helpful,0.0,Neutral
81,5,5,6,5,7,3,9,5,5.625,SYNTHETIC: mentor support is good; course needs better structure,0.6,Positive
288,5,9,6,9,4,4,2,6,5.625,SYNTHETIC: concepts are clear; assignments are too hard; need more support for doubts; course needs better structure,0.20208333333333334,Positive
6,7,10,8,3,3,4,1,2,4.75,SYNTHETIC: explanations are easy to follow; assignments are manageable; need more support for doubts; unclear weekly plan; presentations add value,0.4666666666666667,Positive
547,6,6,8,5,1,2,2,8,4.75,SYNTHETIC: hard to get help when needed; course needs better structure; slides are helpful,0.10416666666666666,Positive
30,6,2,7,5,1,10,9,10,6.25,SYNTHETIC: need clearer explanations; need more support for doubts; slides are helpful,0.5,Positive
445,9,4,4,2,4,8,1,6,4.75,SYNTHETIC: struggled to follow some topics; workload is reasonable; need more support for doubts; presentations are text-heavy,0.35,Positive
591,6,9,8,5,10,6,2,10,7.0,SYNTHETIC: concepts are clear; mentor support is good; slides are helpful,0.39999999999999997,Positive
770,10,10,5,7,10,7,7,10,8.25,SYNTHETIC: teaching is clear and concise; assignments are too hard; mentor support is good,0.15208333333333332,Positive
484,9,6,8,10,3,2,8,4,6.25,SYNTHETIC: assignments are too hard; slow response to queries; course needs better structure; slides are helpful,-0.030555555555555596,Neutral
180,8,4,4,1,6,9,6,1,4.875,SYNTHETIC: need clearer explanations; assignments are manageable; presentations are text-heavy,0.0,Neutral
